code,title,year,ratings_avg,nations,genres
tEQkVwA,드래프트 킹,2023,7.908496732026144,['일본'],"['코미디', '드라마', '스포츠', 'TV드라마']"
tEKzQD5,천하장하,2022,7.576923076923077,['중국'],"['역사', '드라마', 'TV드라마']"
tEqZ1Ap,소년을 위로해줘!,2023,8.353182751540041,['한국'],"['드라마', '로맨스', 'BL', 'TV드라마']"
mOVPDwN,극장판 전생했더니 슬라임이었던 건에 대하여: 홍련의 인연편,2022,8.483565107458913,['일본'],"['애니메이션', '판타지', '모험']"
tEQkwwp,"나는 SOLO, 그 후 사랑은 계속된다",2022,6.680851063829787,['한국'],['예능']
tR4J47Y,쿨하고 바보 같은 남자,2022,8.563838019086923,['일본'],"['애니메이션', '일상', '코미디']"
tl9gLM1,합리적으로 말이 안 돼 ~탐정 카미즈루 료코의 해명~,2023,7.662771285475793,['일본'],"['미스터리', '코미디', 'TV드라마']"
tRB6x2D,"심부름꾼 사이토 씨, 이세계에 가다",2023,7.85005170630817,['일본'],"['애니메이션', '판타지', '코미디', '모험']"
tEqZ486,슈거 애플 페어리 테일 Part 2,2023,8.256410256410257,['일본'],"['애니메이션', '판타지', '모험']"
tEm9Xyd,전생귀족의 이세계 모험록 ~자중을 모르는 신들의 사도~,2023,7.544982698961937,['일본'],"['애니메이션', '판타지', '코미디', '모험']"
tRwG2Lk,경경아심: 두근두근 내 마음을 들어봐,2021,6.526881720430108,['중국'],"['로맨스', '판타지', '시대극', 'TV드라마']"
tE6Y2DN,청설니희환아: 한번 더 사랑해줘,2023,7.890829694323144,['중국'],"['로맨스', 'TV드라마']"
tP8aLX3,좋아하는 애가 안경을 깜박했다,2023,7.337748344370861,['일본'],"['애니메이션', '로맨스', '로맨틱 코미디']"
tEKzM7j,신 없는 세계의 신 활동,2023,6.9335038363171355,['일본'],"['애니메이션', '판타지', '코미디']"
tR5KY91,빙당일하: 한여름의 아이스캔디처럼,2023,5.5675675675675675,['중국'],"['로맨스', '코미디', '드라마', 'TV드라마']"
tPrzOxV,기묘한 이야기 2021 가을,2021,6.7725225225225225,['일본'],"['공포', '미스터리', '드라마', 'TV드라마']"
tPDOgO4,영웅교실,2023,6.296551724137931,['일본'],"['애니메이션', '판타지', '액션', '로맨스']"
tRMxym4,우라미치 선생님,2021,7.472286374133949,['일본'],"['애니메이션', '코미디']"
tR2eZpj,성락응성당: 별이 떨어질 때,2023,8.014662756598241,['중국'],"['드라마', 'TV드라마']"
tEQka4D,사시호: 황후의 계절,2023,6.8861788617886175,['중국'],"['로맨스', '시대극', 'TV드라마']"
mdj2w1N,카구야 님은 고백받고 싶어 -첫 키스는 끝나지 않아-,2022,7.997032640949555,['일본'],"['애니메이션', '로맨스', '코미디']"
